sModel;iInput;iCachedInput;iOutput;iTotal
gpt-5-nano;0,05;0,005;0,4;0,45
gpt-4.1-nano;0,1;0,025;0,4;0,5
gpt-4o-mini;0,15;0,075;0,6;0,75
babbage-002;0,4;0;0,4;0,8
gpt-5.4-nano;0,2;0,02;1,25;1,45
gpt-4.1-mini;0,4;0,1;1,6;2
gpt-3.5-turbo;0,5;0;1,5;2
gpt-3.5-turbo-0125;0,5;0;1,5;2
gpt-5-mini;0,25;0,025;2;2,25
gpt-3.5-turbo-1106;1;0;2;3
gpt-3.5-turbo-0613;1,5;0;2;3,5
gpt-3.5-0301;1,5;0;2;3,5
gpt-3.5-turbo-instruct;1,5;0;2;3,5
davinci-002;2;0;2;4
gpt-5.4-mini;0,75;0,075;4,5;5,25
o4-mini;1,1;0,275;4,4;5,5
o3-mini;1,1;0,55;4,4;5,5
o1-mini;1,1;0,55;4,4;5,5
gpt-3.5-turbo-16k-0613;3;0;4;7
gpt-4.1;2;0,5;8;10
o3;2;0,5;8;10
gpt-5.1;1,25;0,125;10;11,25
gpt-5;1,25;0,125;10;11,25
gpt-4o;2,5;1,25;10;12,5
gpt-5.2;1,75;0,175;14;15,75
gpt-5.4;2,5;0,25;15;17,5
gpt-4o-2024-05-13;5;0;15;20
gpt-4-turbo-2024-04-09;10;0;30;40
gpt-4-0125-preview;10;0;30;40
gpt-4-1106-preview;10;0;30;40
gpt-4-1106-vision-preview;10;0;30;40
o1;15;7,5;60;75
gpt-4-0613;30;0;60;90
gpt-4-0314;30;0;60;90
o3-pro;20;0;80;100
gpt-5-pro;15;0;120;135
gpt-4-32k;60;0;120;180
gpt-5.2-pro;21;0;168;189
gpt-5.4-pro;30;0;180;210
o1-pro;150;0;600;750
